address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
"FCA25826 – CASA EN ANTICRETICO, ACHUMANI",0,,,ENABLED,4,0,5,UC-510066,,24/04/2019,480,300,0,Inmediata,0,,0,0,0,2,510066,29,1,3,-16.521894,La Paz,-68.057137,$us,Achumani,0,95000,La Paz,2,Casa,Anticretico,,
Achumani,0,48463835,7064699,ENABLED,3,0,4,UC-536218, social. ,20/03/2019,208,120,0,Inmediata,596,,4092,540,3706,2,536218,29,1,3,-16.521805,La Paz,-68.065208,$us,Achumani,0,100000,La Paz,1,Casa,Anticretico,,
Koani,0,,,ENABLED,4,0,4,UC-520172,,01/02/2019,350,400,0,Inmediata,0,,0,0,0,3,520172,38,1,3,-16.529617,La Paz,-68.079079,$us,Koani,0,100000,La Paz,2,Casa,Anticretico,,
Achumani,0,,,ENABLED,3,0,4,UC-536217,,16/03/2019,208,120,0,Inmediata,0,,0,0,0,2,536217,29,1,3,-16.518934,La Paz,-68.064667,$us,Achumani,0,100000,La Paz,2,Casa,Anticretico,,
Achumani,0,,,ENABLED,3,0,3,UC-536214,,16/03/2019,208,120,0,Inmediata,0,,0,0,0,2,536214,29,1,3,-16.519241,La Paz,-68.063858,$us,Achumani,0,80000,La Paz,1,Casa,Anticretico,,
Lomas de achumani,0,48463835,7064699,ENABLED,3,0,3,UC-544232, social. ,10/04/2019,350,300,0,Inmediata,596,,4092,540,3706,2,544232,29,1,3,-16.52194,La Paz,-68.059189,$us,Achumani,0,100000,La Paz,2,Casa,Anticretico,,
Achumani el pedregal,0,48463835,7064699,ENABLED,3,0,3,UC-546634, social. ,12/04/2019,350,400,0,Inmediata,507,,3478,459,3150,1,546634,29,1,3,-16.513166,La Paz,-68.055893,$us,Achumani,0,85000,La Paz,2,Casa,Anticretico,,
Urbanización Los Olivos ,0,,,ENABLED,5,0,6,UC-542453,,02/04/2019,380,355,0,Inmediata,0,,0,0,0,2,542453,35,1,3,-16.547684,La Paz,-68.064056,$us,Cota Cota,0,125000,La Paz,2,Casa,Anticretico,,2012
FCA31715 – CASA EN ANTICRETICO EN CALACOTO,0,,,ENABLED,3,0,3,UC-546535,,24/04/2019,250,0,0,Inmediata,0,,0,0,0,0,546535,237,1,3,-16.546572,La Paz,-68.077187,$us,San Miguel,0,75000,La Paz,2,Casa,Anticretico,,
FCA31715 – CASA EN ANTICRETICO EN CALACOTO,0,,,ENABLED,3,0,3,UC-546537,,24/04/2019,250,0,0,Inmediata,0,,0,0,0,0,546537,237,1,3,-16.546572,La Paz,-68.077187,$us,San Miguel,0,75000,La Paz,2,Casa,Anticretico,,
Casa en Anticretico en Achumani,1,40002059,5831204,ENABLED,3,0,4,UC-537483, no social con 20% de aporte propio. ,29/04/2019,270,300,0,Inmediata,1909,,13094,1746,11975,1,537483,29,1,3,-16.518299,La Paz,-68.059799,$us,Achumani,0,198000,La Paz,2,Casa,Anticretico,,
Calacoto,0,,,ENABLED,3,0,3,UC-547923,,16/04/2019,250,200,0,Inmediata,0,,0,0,0,0,547923,32,1,3,-16.539278,La Paz,-68.088844,$us,Calacoto,0,75000,La Paz,2,Casa,Anticretico,,2011
Irpavi,0,,,ENABLED,4,0,4,UC-550441,,24/04/2019,300,350,0,Inmediata,0,,0,0,0,2,550441,37,1,3,-16.522038,La Paz,-68.087738,$us,Irpavi,0,100000,La Paz,2,Casa,Anticretico,,
Casa en Anticrético Calacoto ,0,,,ENABLED,3,0,3,UC-546086,,15/04/2019,250,300,0,Inmediata,0,,0,0,0,0,546086,32,1,3,-16.545174,La Paz,-68.082207,$us,Calacoto,0,75000,La Paz,1,Casa,Anticretico,,
Obrajes,0,,,ENABLED,3,0,4,UC-549380,,21/04/2019,450,560,0,Inmediata,0,,0,0,0,1,549380,42,1,3,-16.529593,La Paz,-68.1007,$us,Obrajes,0,100000,La Paz,2,Casa,Anticretico,,
Achumani,1,,,ENABLED,4,0,5,UC-239217,,03/03/2018,490,600,0,Inmediata,0,17.87,0,0,0,3,239217,29,1,2,-16.514463,La Paz,-68.061371,$us,Achumani,0,2500,La Paz,2,Casa,Alquiler,2500.00 $us,
"FCA10739 – CASA EN ALQUILER, COTA COTA",1,,,ENABLED,3,0,3,UC-465937,,24/04/2019,0,600,0,Inmediata,0,,0,0,0,3,465937,35,1,2,-16.542912,La Paz,-68.056419,$us,Cota Cota,0,2500,La Paz,2,Casa,Alquiler,,
Achumani,0,,,ENABLED,5,0,4,UC-290117,,19/04/2018,238,280,0,Inmediata,0,,0,0,0,2,290117,29,1,2,-16.530077,La Paz,-68.070946,$us,Achumani,0,2000,La Paz,1,Casa,Alquiler,2000.00 $us,
Auquisamaña,0,,,ENABLED,7,0,6,UC-257880,,02/03/2018,490,0,0,Inmediata,0,8.58,0,0,0,6,257880,55,1,2,-16.551434,La Paz,-68.068352,$us,Auquisamaña,0,1200,La Paz,2,Casa,Alquiler,2400.00 $us,
Auquisamaña,0,,,ENABLED,6,1,3,UC-236739,,29/04/2019,0,0,0,Inmediata,0,,0,0,0,3,236739,55,1,2,-16.551105,La Paz,-68.065994,$us,Auquisamaña,0,1800,La Paz,2,Casa,Alquiler,,
"FCA803 – CASA EN ANTICRETICO, UMAMANTA",0,,,ENABLED,3,0,3,UC-466141,,24/04/2019,232,0,0,Inmediata,0,,0,0,0,2,466141,179,1,3,-16.607626,La Paz,-68.070259,$us,Río Abajo,0,95000,La Paz,2,Casa,Anticretico,,
