address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Achumani,0,40002059,5831204,ENABLED,3,0,3,UC-510183, no social con 20% de aporte propio. ,25/04/2019,200,0,0,Inmediata,1151,1270.64,7894,1052,7220,1,510183,29,2,1,-16.517693,La Paz,-68.061523,$us,Achumani,0,182000,La Paz,1,Departamento,Venta,,2018
FDV25752 – COMPRA TU PENTHOUSE EN KOANI,0,40002059,5831204,ENABLED,4,0,3,UC-509873, no social con 20% de aporte propio. ,24/04/2019,210,0,0,Inmediata,1043,1151.95,7157,954,6545,1,509873,38,2,1,-16.529917,La Paz,-68.07869,$us,Koani,0,165000,La Paz,2,Departamento,Venta,,
Los Almendros ,0,40002059,5831204,ENABLED,3,0,2,UC-509582, no social con 20% de aporte propio. ,07/02/2019,169,0,0,Inmediata,948,1047.23,6506,867,5950,1,509582,242,2,1,-16.546368,La Paz,-68.058418,$us,El Pedregal,0,150000,La Paz,1,Departamento,Venta,,2017
Departamento en Los Pinos ,0,48463835,7064699,ENABLED,1,0,1,UC-510003, social. ,14/01/2019,61,0,0,Inmediata,489,572.48,3355,443,3039,1,510003,52,2,1,-16.546198,La Paz,-68.070419,$us,Los Pinos,0,82000,La Paz,1,Departamento,Venta,,
CALACOTO,0,48463835,7064699,ENABLED,3,0,3,UC-510638, social. ,14/01/2019,114,0,0,Inmediata,653,764.48,4480,591,4058,1,510638,55,2,1,-16.546057,La Paz,-68.068138,$us,Auquisamaña,0,109500,La Paz,1,Departamento,Venta,,2018
ENTRE CAPITAN RAVELO Y OSCAR SORIA CERCA CINEMATECA,0,48463835,7064699,ENABLED,2,0,3,UC-509678, social. ,10/04/2019,97,0,0,08/2019,590,691.93,4051,535,3668,0,509678,44,2,1,-16.48679,La Paz,-68.136261,$us,Centro,0,99000,La Paz,1,Departamento,Venta,,2019
CALACOTO DEPARTAMENTO EN VENTA,0,40002059,5831204,ENABLED,5,0,3,UC-510690, no social con 20% de aporte propio. ,12/01/2019,220,0,0,Inmediata,1411,1780.29,9678,1290,8851,1,510690,32,2,1,-16.541801,La Paz,-68.085732,$us,Calacoto,0,255000,La Paz,2,Departamento,Venta,,
Cota Cota,0,48463835,7064699,ENABLED,2,0,2,UC-513046, social. ,29/04/2019,0,0,0,Inmediata,626,733.06,4296,567,3891,1,513046,35,2,1,-16.540911,La Paz,-68.055969,$us,Cota Cota,0,105000,La Paz,2,Departamento,Venta,,
FDV25465 – COMPRA TU DEPARTAMENTO EN SOPOCACHI,0,48463835,7064699,ENABLED,1,0,1,UC-507225, social. ,24/04/2019,0,0,0,Inmediata,492,575.98,3376,446,3057,0,507225,47,2,1,-16.509855,La Paz,-68.125801,$us,Sopocachi,0,82500,La Paz,2,Departamento,Venta,,
ACHUMANI,0,40002059,5831204,ENABLED,4,0,4,UC-505065, no social con 20% de aporte propio. ,26/02/2019,165,0,0,Inmediata,1031,1178.92,7070,943,6466,1,505065,29,2,1,-16.519627,La Paz,-68.06382,$us,Achumani,0,163000,La Paz,2,Departamento,Venta,,2012
